#   See ftp://ftp.ncbi.nlm.nih.gov/genomes/README_assembly_summary.txt for a description of the columns in this file.
# assembly_accession	bioproject	biosample	wgs_master	refseq_category	taxid	species_taxid	organism_name	infraspecific_name	isolate	version_status	assembly_level	release_type	genome_rep	seq_rel_date	asm_name	submitter	gbrs_paired_asm	paired_asm_comp	ftp_path	excluded_from_refseq	relation_to_type_material	asm_not_live_date
GCF_002940915.1	PRJNA436375	SAMN07783852	PEHR00000000.1	representative genome	9430	9430	Desmodus rotundus		DRU21DN04	latest	Scaffold	Major	Full	2018/02/23	ASM294091v2	University of Copenhagen	GCA_002940915.2	different	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/940/915/GCF_002940915.1_ASM294091v2			na
GCF_020740605.2	PRJNA779062	SAMN12621102	JAJGPY000000000.1	representative genome	9447	9447	Lemur catta		mLemCat1	latest	Chromosome	Minor	Full	2021/11/04	mLemCat1.pri	Vertebrate Genomes Project	GCA_020740605.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/020/740/605/GCF_020740605.2_mLemCat1.pri			na
GCF_009663435.1	PRJNA635392		WJHW00000000.1	representative genome	9483	9483	Callithrix jacchus	strain=cj1700		latest	Chromosome	Major	Full	2020/05/22	Callithrix_jacchus_cj1700_1.1	McDonnell Genome Institute at Washington University	GCA_009663435.2	different	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/009/663/435/GCF_009663435.1_Callithrix_jacchus_cj1700_1.1			na
GCF_009761245.1	PRJNA599380	SAMN13265339	WRPQ00000000.1	representative genome	9515	9515	Sapajus apella		SASKATOON/1434	latest	Scaffold	Major	Full	2019/12/17	GSC_monkey_1.0	Canada's Genomic Enterprise	GCA_009761245.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/009/761/245/GCF_009761245.1_GSC_monkey_1.0			na
GCF_000955945.1	PRJNA279144	SAMN03379531	JZLG00000000.1	representative genome	9531	9531	Cercocebus atys		FAK	latest	Scaffold	Major	Full	2015/03/19	Caty_1.0	Human Genome Sequencing Center - BCM	GCA_000955945.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/955/945/GCF_000955945.1_Caty_1.0			na
GCF_012559485.2	PRJNA690070	SAMD00204697	BLPH00000000.2	representative genome	9541	9541	Macaca fascicularis		CE1976F	latest	Chromosome	Major	Full	2021/10/26	MFA1912RKSv2	Keio University / RIKEN	GCA_012559485.3	different	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/012/559/485/GCF_012559485.2_MFA1912RKSv2			na
GCF_003339765.1	PRJNA528504	SAMN09435472	QNVO00000000.2	representative genome	9544	9544	Macaca mulatta		AG07107	latest	Chromosome	Major	Full	2019/02/13	Mmul_10	The Genome Institute at Washington University School of Medicine	GCA_003339765.3	different	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/339/765/GCF_003339765.1_Mmul_10			na
GCF_000956065.1	PRJNA279145	SAMN03121842	JZLF00000000.1	representative genome	9545	9545	Macaca nemestrina		M95218	latest	Scaffold	Major	Full	2015/03/19	Mnem_1.0	Baylor College of Medicine	GCA_000956065.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/956/065/GCF_000956065.1_Mnem_1.0			na
GCF_008728515.1	PRJNA576697	SAMN11179045	VSMJ00000000.1	representative genome	9555	9555	Papio anubis		15944	latest	Chromosome	Major	Full	2019/10/02	Panubis1.0	University of California, San Francisco	GCA_008728515.1	different	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/008/728/515/GCF_008728515.1_Panubis1.0			na
GCF_003255815.1	PRJNA477372	SAMN09197221	QGDE00000000.1	representative genome	9565	9565	Theropithecus gelada		Dixy	latest	Chromosome	Major	Full	2018/06/19	Tgel_1.0	Kenneth Chiou's shared submissions	GCA_003255815.1	different	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/255/815/GCF_003255815.1_Tgel_1.0			na
GCF_000951045.1	PRJNA279492	SAMN03121813	JYKQ00000000.1	representative genome	9568	9568	Mandrillus leucophaeus		KB7577	latest	Scaffold	Major	Full	2015/03/12	Mleu.le_1.0	Baylor College of Medicine	GCA_000951045.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/951/045/GCF_000951045.1_Mleu.le_1.0			na
GCF_008122165.1	PRJNA564096	SAMN11078986	SRLZ00000000.1	representative genome	9595	9593	Gorilla gorilla gorilla	breed=western lowland gorilla	Kamilah (stud number 0661)	latest	Chromosome	Major	Full	2019/08/28	Kamilah_GGO_v0	University of Washington	GCA_008122165.1	different	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/008/122/165/GCF_008122165.1_Kamilah_GGO_v0			na
GCF_013052645.1	PRJNA633582	SAMN11123633	SSBP00000000.1	representative genome	9597	9597	Pan paniscus		Mhudiblu (Carbone #601152)	latest	Chromosome	Major	Full	2020/05/15	Mhudiblu_PPA_v0	University of Washington, University of Bari, Italy	GCA_013052645.1	different	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/013/052/645/GCF_013052645.1_Mhudiblu_PPA_v0			na
GCF_002880755.1	PRJNA10627	SAMN06272697	NBAG00000000.3	representative genome	9598	9598	Pan troglodytes		Yerkes chimp pedigree #C0471 (Clint)	latest	Chromosome	Major	Full	2018/01/19	Clint_PTRv2	University of Washington	GCA_002880755.3	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/880/755/GCF_002880755.1_Clint_PTRv2			na
GCF_002880775.1	PRJNA37793	SAMN06275555	NDHI00000000.3	representative genome	9601	9601	Pongo abelii		Susie	latest	Chromosome	Major	Full	2018/01/19	Susie_PABv2	University of Washington	GCA_002880775.3	different	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/880/775/GCF_002880775.1_Susie_PABv2			na
GCF_000001405.39	PRJNA168			reference genome	9606	9606	Homo sapiens			latest	Chromosome	Patch	Full	2019/02/28	GRCh38.p13	Genome Reference Consortium	GCA_000001405.28	different	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/001/405/GCF_000001405.39_GRCh38.p13			na
GCF_000002285.5	PRJNA12384	SAMN02953603	AAEX00000000.4	na	9615	9612	Canis lupus familiaris	breed=boxer	Tasha	latest	Chromosome	Major	Full	2020/10/06	Dog10K_Boxer_Tasha	Dog Genome Sequencing Consortium	GCA_000002285.4	different	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/002/285/GCF_000002285.5_Dog10K_Boxer_Tasha			na
GCF_014441545.1	PRJNA681562	SAMN14478636	JAAUVH000000000.1	representative genome	9615	9612	Canis lupus familiaris	breed=Labrador retriever	SID07034	latest	Chromosome	Major	Full	2020/09/03	ROS_Cfam_1.0	The Roslin Institute	GCA_014441545.1	different	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/014/441/545/GCF_014441545.1_ROS_Cfam_1.0			na
GCF_003160815.1	PRJNA482864	SAMN06553695	NBDQ00000000.1	representative genome	9627	9627	Vulpes vulpes	strain=TameXAggressive cross		latest	Scaffold	Major	Full	2018/05/25	VulVul2.2	University of Illinois at Urbana-Champaign	GCA_003160815.1	different	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/160/815/GCF_003160815.1_VulVul2.2			na
GCF_002007445.1	PRJNA633539	SAMN04193337	LNAT00000000.2	representative genome	9646	9646	Ailuropoda melanoleuca		Jingjing	latest	Chromosome	Major	Full	2020/04/20	ASM200744v2	Institute of Zoology, Chinese Academy of Sciences	GCA_002007445.2	different	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/007/445/GCF_002007445.1_ASM200744v2			na
GCF_011764305.1	PRJNA776022	SAMN13896405	JAADYL000000000.1	representative genome	9669	9668	Mustela putorius furo		JIRA1106	latest	Contig	Major	Full	2020/03/27	ASM1176430v1.1	JCVI	GCA_011764305.2	different	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/011/764/305/GCF_011764305.1_ASM1176430v1.1			na
GCF_018350175.1	PRJNA773801	SAMN19729387	JAFEKA000000000.1	representative genome	9685	9685	Felis catus		Fca126	latest	Chromosome	Major	Full	2021/05/13	F.catus_Fca126_mat1.0	Texas A&M University	GCA_018350175.1	different	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/018/350/175/GCF_018350175.1_F.catus_Fca126_mat1.0			na
GCF_018350215.1	PRJNA751610	SAMN17054329	JAEQMX000000000.1	representative genome	9689	9689	Panthera leo		Ple1	latest	Chromosome	Major	Full	2021/05/13	P.leo_Ple1_pat1.1	Texas A&M University	GCA_018350215.1	different	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/018/350/215/GCF_018350215.1_P.leo_Ple1_pat1.1			na
GCF_001857705.1	PRJNA355165	SAMN04347630	LQGZ00000000.1	representative genome	9691	9691	Panthera pardus		Maewha	latest	Scaffold	Major	Full	2016/11/16	PanPar1.0	Ulsan National Institute of Science and Technology	GCA_001857705.1	different	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/857/705/GCF_001857705.1_PanPar1.0			na
GCF_018350195.1	PRJNA751894	SAMN17054330	JAEQMW000000000.1	representative genome	9694	9694	Panthera tigris		Pti1	latest	Chromosome	Major	Full	2021/05/13	P.tigris_Pti1_mat1.1	Texas A&M University	GCA_018350195.2	different	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/018/350/195/GCF_018350195.1_P.tigris_Pti1_mat1.1			na
GCF_003327715.1	PRJNA481988	SAMN08662999	QAVW00000000.1	representative genome	9696	9696	Puma concolor		SC36_Marlon	latest	Scaffold	Major	Full	2018/07/19	PumCon1.0	Broad Institute	GCA_003327715.1	different	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/327/715/GCF_003327715.1_PumCon1.0			na
GCF_009762305.2	PRJNA602522	SAMN12368149	WPOA00000000.2	representative genome	9704	9704	Zalophus californianus		mZalCal1	latest	Chromosome	Major	Full	2020/07/14	mZalCal1.pri.v2	Vertebrate Genomes Project	GCA_009762305.2	different	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/009/762/305/GCF_009762305.2_mZalCal1.pri.v2			na
GCF_000321225.1	PRJNA189954	SAMN01180787	ANOP00000000.1	representative genome	9708	9707	Odobenus rosmarus divergens		Ivan	latest	Scaffold	Major	Full	2013/01/16	Oros_1.0	Marine mammals	GCA_000321225.1	different	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/321/225/GCF_000321225.1_Oros_1.0			na
GCF_012393455.1	PRJNA661181	SAMN13022322	JAAXOB000000000.1	representative genome	9711	9711	Halichoerus grypus	ecotype=Northwest Atlantic	241Hg	latest	Scaffold	Major	Full	2020/04/15	Tufts_HGry_1.1	Cummings School of Veterinary Medicine at Tufts University	GCA_012393455.1	different	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/012/393/455/GCF_012393455.1_Tufts_HGry_1.1			na
GCF_000349705.1	PRJNA232772	SAMN00672463	APMU00000000.1	representative genome	9713	9713	Leptonychotes weddellii		WS11-02	latest	Scaffold	Major	Full	2013/03/29	LepWed1.0	Broad Institute	GCA_000349705.1	different	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/349/705/GCF_000349705.1_LepWed1.0			na
GCF_011800145.1	PRJNA638103	SAMN13282320	JAAMPH000000000.1	representative genome	9715	9715	Mirounga leonina		KUSES-001	latest	Scaffold	Major	Full	2020/03/31	KU_Mleo_1.0	Earth Biogenome Project	GCA_011800145.1	different	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/011/800/145/GCF_011800145.1_KU_Mleo_1.0			na
GCF_004348235.1	PRJNA605348	SAMN10150265	RXNX00000000.1	representative genome	9720	9720	Phoca vitulina		PV1807	latest	Scaffold	Major	Full	2019/02/11	GSC_HSeal_1.0	Canada's Genome Enterprise (CGEN)	GCA_004348235.1	different	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/004/348/235/GCF_004348235.1_GSC_HSeal_1.0			na
GCF_006547405.1	PRJNA563901	SAMN11083132	SWEB00000000.1	representative genome	9731	9731	Globicephala melas		X-22926-18	latest	Scaffold	Major	Full	2019/07/01	ASM654740v1	Canada's Genomic Enterprise	GCA_006547405.1	different	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/006/547/405/GCF_006547405.1_ASM654740v1			na
GCF_000331955.2	PRJNA189949	SAMN01180276	ANOL00000000.2	representative genome	9733	9733	Orcinus orca		Morgan	latest	Scaffold	Major	Full	2013/01/31	Oorc_1.1	Marine mammals	GCA_000331955.2	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/331/955/GCF_000331955.2_Oorc_1.1			na
GCF_011762595.1	PRJNA625792	SAMN12326775	JAAOMD000000000.1	representative genome	9739	9739	Tursiops truncatus		mTurTru1	latest	Chromosome	Major	Full	2020/03/27	mTurTru1.mat.Y	Vertebrate Genomes Project	GCA_011762595.1	different	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/011/762/595/GCF_011762595.1_mTurTru1.mat.Y			na
GCF_002288925.2	PRJNA407951	SAMN06216270	NQVZ00000000.2	representative genome	9749	9749	Delphinapterus leucas		GAN/ISIS: 26980492/103006	latest	Scaffold	Major	Full	2019/08/29	ASM228892v3	BC Cancer Agency	GCA_002288925.3	different	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/288/925/GCF_002288925.2_ASM228892v3			na
GCF_002837175.2	PRJNA434122	SAMN07836523	PGGR00000000.2	representative genome	9755	9755	Physeter catodon		SW-GA	latest	Chromosome	Major	Full	2019/03/08	ASM283717v2	BGI	GCA_002837175.2	different	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/837/175/GCF_002837175.2_ASM283717v2			na
GCF_009873245.2	PRJNA607322	SAMN12287136	VNFC00000000.3	representative genome	9771	9771	Balaenoptera musculus		JJ_BM4_2016_0621	latest	Chromosome	Major	Full	2020/10/02	mBalMus1.pri.v3	G10K	GCA_009873245.3	different	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/009/873/245/GCF_009873245.2_mBalMus1.pri.v3			na
GCF_000001905.1	PRJNA70973	SAMN02953622	AAGU00000000.3	representative genome	9785	9785	Loxodonta africana		ISIS603380	latest	Scaffold	Major	Full	2009/07/15	Loxafr3.0	Broad Institute	GCA_000001905.1	different	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/001/905/GCF_000001905.1_Loxafr3.0			na
GCF_016077325.2	PRJNA688408	SAMN08939908	JADWZW000000000.2	representative genome	9793	9793	Equus asinus	breed=Dezhou		latest	Chromosome	Major	Full	2021/10/14	ASM1607732v2	Dairy Cattle Research Center, Shandong Academy of Agricultural Sciences	GCA_016077325.2	different	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/016/077/325/GCF_016077325.2_ASM1607732v2			na
GCF_002863925.1	PRJNA19129	SAMN02953672	PJAA00000000.1	representative genome	9796	9796	Equus caballus	breed=thoroughbred	Twilight	latest	Chromosome	Major	Full	2018/01/05	EquCab3.0	University of Louisville	GCA_002863925.1	different	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/863/925/GCF_002863925.1_EquCab3.0			na
GCF_000696695.1	PRJNA253941	SAMN02808398	ATBW00000000.1	representative genome	9798	9798	Equus przewalskii		Burgud	latest	Scaffold	Major	Full	2014/06/05	Burgud	College of Animal Science, Inner Mongolian Agricultural University, China	GCA_000696695.1	different	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/696/695/GCF_000696695.1_Burgud			na
GCF_000003025.6	PRJNA28993	SAMN02953785	AEMK00000000.2	representative genome	9823	9823	Sus scrofa	breed=Duroc	TJ Tabasco	latest	Chromosome	Major	Full	2017/02/07	Sscrofa11.1	The Swine Genome Sequencing Consortium (SGSC)	GCA_000003025.6	different	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/003/025/GCF_000003025.6_Sscrofa11.1			na
GCF_000767855.1	PRJNA269612	SAMN02953968	JARL00000000.1	representative genome	9837	9837	Camelus bactrianus	breed=Alxa		latest	Scaffold	Major	Full	2014/10/23	Ca_bactrianus_MBC_1.0	Inner Mongolia Agricultural University, P.R.China	GCA_000767855.1	different	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/767/855/GCF_000767855.1_Ca_bactrianus_MBC_1.0			na
GCF_000803125.2	PRJNA565028	SAMN03252735	JWIN00000000.3	representative genome	9838	9838	Camelus dromedarius	breed=African	Drom800	latest	Chromosome	Major	Full	2019/10/07	CamDro3	Vetmeduni Vienna	GCA_000803125.3	different	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/803/125/GCF_000803125.2_CamDro3			na
GCF_910594005.1	PRJNA764704	SAMEA7523520	CAJVBL000000000.1	representative genome	9860	9860	Cervus elaphus			latest	Chromosome	Major	Full	2021/07/07	mCerEla1.1	WELLCOME SANGER INSTITUTE	GCA_910594005.1	different	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/910/594/005/GCF_910594005.1_mCerEla1.1			na
GCF_002102435.1	PRJNA384059	SAMN05363940	MLBE00000000.1	representative genome	9880	9874	Odocoileus virginianus texanus		animal Pink-7	latest	Scaffold	Major	Full	2017/04/20	Ovir.te_1.0	Baylor College of Medicine	GCA_002102435.1	different	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/102/435/GCF_002102435.1_Ovir.te_1.0			na
GCF_002263795.1	PRJNA450837	SAMN03145444	NKLS00000000.2	representative genome	9913	9913	Bos taurus	breed=Hereford	L1 Dominette 01449 registration number 42190680	latest	Chromosome	Major	Full	2018/04/11	ARS-UCD1.2	USDA ARS	GCA_002263795.2	different	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/263/795/GCF_002263795.1_ARS-UCD1.2			na
GCF_000247795.1	PRJNA360096	SAMN02953802	AGFL00000000.1	representative genome	9915	9915	Bos indicus	breed=Nelore	QUIL7308	latest	Chromosome	Major	Full	2014/11/25	Bos_indicus_1.0	Genoa Biotecnologia SA   	GCA_000247795.2	different	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/247/795/GCF_000247795.1_Bos_indicus_1.0			na
GCF_001704415.1	PRJNA340281	SAMN03863711	LWLT00000000.1	representative genome	9925	9925	Capra hircus	breed=San Clemente		latest	Chromosome	Major	Full	2016/08/24	ARS1	USDA ARS	GCA_001704415.1	different	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/704/415/GCF_001704415.1_ARS1			na
GCF_016772045.1	PRJNA739192	SAMN17575729	JAEVFA000000000.1	representative genome	9940	9940	Ovis aries	breed=Rambouillet, /strain=OAR_USU_Benz2616		latest	Chromosome	Major	Full	2021/02/03	ARS-UI_Ramb_v2.0	University of Idaho	GCA_016772045.1	different	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/016/772/045/GCF_016772045.1_ARS-UI_Ramb_v2.0			na
GCF_014570535.1	PRJNA666704	SAMN11464811	VALM00000000.1	representative genome	9974	9974	Manis javanica		MJ74	latest	Scaffold	Major	Full	2020/09/15	YNU_ManJav_2.0	Yunnan University	GCA_014570535.1	different	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/014/570/535/GCF_014570535.1_YNU_ManJav_2.0			na
GCF_014633375.1	PRJNA666703	SAMN15664588	JACJUE000000000.1	representative genome	9978	9978	Ochotona princeps		UAM:Mamm:113957	latest	Chromosome	Major	Full	2020/09/21	OchPri4.0	University of British Columbia Okanagan	GCA_014633375.1	different	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/014/633/375/GCF_014633375.1_OchPri4.0			na
GCF_000003625.3	PRJNA42933	SAMN02953624	AAGW00000000.2	representative genome	9986	9986	Oryctolagus cuniculus	breed=Thorbecke inbred		latest	Chromosome	Major	Full	2009/10/20	OryCun2.0	The Broad Institute of MIT and Harvard	GCA_000003625.1	different	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/003/625/GCF_000003625.3_OryCun2.0			na
GCF_001458135.1	PRJNA298354	SAMEA3214822	CZRN00000000.1	representative genome	9994	9993	Marmota marmota marmota			latest	Scaffold	Major	Full	2015/11/20	marMar2.1	MRC NATIONAL INSTITUTE FOR MEDICAL RESEARCH	GCA_001458135.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/458/135/GCF_001458135.1_marMar2.1			na
GCF_003426925.1	PRJNA489874	SAMN09469529	QVIC00000000.1	representative genome	9999	9999	Urocitellus parryii	ecotype=Arctic tundra	AGS 11-09-20	latest	Scaffold	Major	Full	2018/08/24	ASM342692v1	UAF	GCA_003426925.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/426/925/GCF_003426925.1_ASM342692v1			na
GCF_000151885.1	PRJNA287906	SAMN02900551	ABRO00000000.2	representative genome	10020	10020	Dipodomys ordii		6190	latest	Scaffold	Major	Full	2014/12/12	Dord_2.0	Baylor College of Medicine	GCA_000151885.2	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/151/885/GCF_000151885.1_Dord_2.0			na
GCF_000223135.1	PRJNA72741	SAMN02981352	AFTD00000000.1	representative genome	10029	10029	Cricetulus griseus			latest	Scaffold	Major	Full	2011/08/23	CriGri_1.0	Beijing Genomics Institute	GCA_000223135.1	different	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/223/135/GCF_000223135.1_CriGri_1.0			na
GCF_003668045.3	PRJNA498699	SAMN07140313	RAZU00000000.2	na	10029	10029	Cricetulus griseus	strain=17A/GY		latest	Chromosome	Minor	Full	2020/06/11	CriGri-PICRH-1.0	CHO Genome Community	GCA_003668045.2	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/668/045/GCF_003668045.3_CriGri-PICRH-1.0			na
GCF_017639785.1	PRJNA719779	SAMN18096087	JAFVMI000000000.1	representative genome	10036	10036	Mesocricetus auratus		SY011	latest	Scaffold	Major	Full	2021/03/30	BCM_Maur_2.0	Baylor College of Medicine Human Genome Sequencing Center	GCA_017639785.1	different	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/017/639/785/GCF_017639785.1_BCM_Maur_2.0			na
GCF_004664715.2	PRJNA533285	SAMN03488028	NMRJ00000000.2	representative genome	10041	10041	Peromyscus leucopus	breed=LL Stock		latest	Chromosome	Major	Full	2020/10/02	UCI_PerLeu_2.1	University of California Irvine	GCA_004664715.2	different	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/004/664/715/GCF_004664715.2_UCI_PerLeu_2.1			na
GCF_002204375.1	PRJNA391923	SAMN06897401	NHTI00000000.1	representative genome	10047	10047	Meriones unguiculatus	strain=243		latest	Scaffold	Major	Full	2017/06/21	MunDraft-v1.0	Lucigen Corp.	GCA_002204375.1	different	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/204/375/GCF_002204375.1_MunDraft-v1.0			na
GCF_900094665.1	PRJNA387030	SAMEA3367631	FMAL00000000.2	representative genome	10089	10089	Mus caroli			latest	Chromosome	Major	Full	2017/04/28	CAROLI_EIJ_v1.1	EBI	GCA_900094665.2	different	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/094/665/GCF_900094665.1_CAROLI_EIJ_v1.1			na
GCF_000001635.27	PRJNA169			reference genome	10090	10090	Mus musculus			latest	Chromosome	Major	Full	2020/06/24	GRCm39	Genome Reference Consortium	GCA_000001635.9	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/001/635/GCF_000001635.27_GRCm39			na
GCF_900095145.1	PRJNA387191	SAMEA3367645	FMBV00000000.2	representative genome	10093	10093	Mus pahari			latest	Chromosome	Major	Full	2017/04/28	PAHARI_EIJ_v1.1	EBI	GCA_900095145.2	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/095/145/GCF_900095145.1_PAHARI_EIJ_v1.1			na
